months_as_customer,age,policy_deductable,umbrella_limit,insured_sex,insured_education_level,insured_occupation,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,fraud_reported
84,30,2000,0,FEMALE,MD,protective-serv,Single Vehicle Collision,Side Collision,Minor Damage,Police,9,1,NO,1,0,YES,57640,N
255,43,500,0,FEMALE,JD,transport-moving,Multi-vehicle Collision,Side Collision,Major Damage,Fire,14,2,?,2,2,?,74700,Y
150,30,1000,0,MALE,College,sales,Vehicle Theft,?,Trivial Damage,Police,7,1,YES,1,3,YES,4590,N
201,40,2000,0,FEMALE,PhD,transport-moving,Vehicle Theft,?,Minor Damage,Police,14,1,YES,0,0,YES,6820,N
125,35,500,7000000,MALE,JD,tech-support,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,2,3,NO,88660,Y
253,46,500,0,FEMALE,MD,transport-moving,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,11,3,YES,0,0,NO,64570,N
413,55,2000,0,MALE,MD,priv-house-serv,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,1,?,2,2,?,98160,Y
13,21,1000,0,MALE,Associate,prof-specialty,Multi-vehicle Collision,Side Collision,Total Loss,Police,19,3,YES,2,0,YES,94930,N
216,36,1000,0,FEMALE,Associate,priv-house-serv,Parked Car,?,Minor Damage,Police,0,1,YES,2,3,?,6160,N
305,49,2000,0,FEMALE,High School,farming-fishing,Multi-vehicle Collision,Front Collision,Total Loss,Fire,21,3,YES,0,2,?,66550,N
227,38,500,0,FEMALE,PhD,handlers-cleaners,Single Vehicle Collision,Rear Collision,Major Damage,Fire,16,1,?,1,2,?,72200,Y
156,37,500,0,MALE,Associate,protective-serv,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,0,3,NO,41490,N
200,40,1000,0,FEMALE,High School,sales,Vehicle Theft,?,Minor Damage,Police,9,1,?,0,0,NO,3690,N
56,42,500,0,FEMALE,Associate,adm-clerical,Single Vehicle Collision,Rear Collision,Total Loss,Other,13,1,?,1,2,YES,61490,N
370,55,2000,0,MALE,High School,prof-specialty,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,NO,0,0,YES,71520,Y
124,29,500,0,MALE,Masters,handlers-cleaners,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,?,0,3,YES,72000,N
252,46,2000,0,FEMALE,JD,handlers-cleaners,Multi-vehicle Collision,Front Collision,Total Loss,Other,22,3,NO,0,2,NO,89520,N
78,31,1000,4000000,MALE,PhD,protective-serv,Single Vehicle Collision,Front Collision,Major Damage,Other,21,1,NO,1,0,NO,55660,Y
22,25,2000,0,FEMALE,College,prof-specialty,Multi-vehicle Collision,Front Collision,Total Loss,Other,0,4,YES,1,0,NO,77130,N
76,31,500,5000000,FEMALE,Associate,priv-house-serv,Vehicle Theft,?,Minor Damage,Police,7,1,NO,2,1,NO,8030,N
136,33,1000,0,FEMALE,PhD,craft-repair,Single Vehicle Collision,Side Collision,Minor Damage,Fire,23,1,YES,0,1,YES,30700,N
246,45,1000,0,MALE,JD,machine-op-inspct,Multi-vehicle Collision,Side Collision,Major Damage,Fire,9,3,?,2,2,?,53280,Y
428,54,2000,0,MALE,Masters,transport-moving,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,16,3,NO,1,0,?,76560,N
338,47,2000,0,FEMALE,Associate,armed-forces,Multi-vehicle Collision,Rear Collision,Major Damage,Other,1,3,NO,2,3,?,64100,Y
105,33,500,0,FEMALE,High School,adm-clerical,Single Vehicle Collision,Front Collision,Total Loss,Other,8,1,YES,0,1,?,70290,N
152,33,1000,0,FEMALE,JD,armed-forces,Single Vehicle Collision,Front Collision,Minor Damage,Fire,18,1,NO,1,0,NO,63900,N
32,38,500,6000000,FEMALE,College,other-service,Multi-vehicle Collision,Side Collision,Minor Damage,Police,15,3,YES,2,1,YES,70900,N
373,55,500,0,MALE,MD,sales,Multi-vehicle Collision,Rear Collision,Major Damage,Other,21,4,?,0,2,NO,60600,Y
280,41,2000,0,MALE,MD,adm-clerical,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,?,0,3,YES,53020,N
230,42,1000,0,FEMALE,MD,adm-clerical,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,13,3,NO,1,2,YES,58850,N
360,51,1000,0,MALE,Masters,handlers-cleaners,Vehicle Theft,?,Minor Damage,Police,5,1,YES,2,2,?,4620,Y
218,41,500,0,MALE,JD,prof-specialty,Multi-vehicle Collision,Side Collision,Total Loss,Police,14,3,NO,2,0,NO,84590,N
253,43,500,7000000,FEMALE,Associate,tech-support,Vehicle Theft,?,Trivial Damage,Police,9,1,NO,0,1,?,3840,N
256,42,1000,0,FEMALE,MD,transport-moving,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,?,75500,N
234,43,500,0,MALE,Associate,protective-serv,Single Vehicle Collision,Rear Collision,Major Damage,Police,4,1,NO,2,2,YES,51600,N
158,33,1000,3000000,MALE,JD,prof-specialty,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,4,3,NO,0,1,NO,36400,N
259,44,2000,0,FEMALE,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Minor Damage,Other,8,1,YES,0,0,YES,105820,N
198,34,1000,0,MALE,Associate,handlers-cleaners,Single Vehicle Collision,Side Collision,Major Damage,Other,18,1,YES,1,1,YES,95000,N
211,40,1000,0,FEMALE,PhD,other-service,Vehicle Theft,?,Trivial Damage,Police,3,1,NO,1,1,NO,3190,N
85,31,2000,9000000,FEMALE,MD,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,Other,1,2,NO,2,1,?,74400,Y
276,47,1000,0,MALE,PhD,craft-repair,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,YES,0,0,?,65780,N
182,38,2000,0,FEMALE,Masters,armed-forces,Single Vehicle Collision,Side Collision,Total Loss,Police,18,1,?,2,3,YES,89650,N
164,31,500,0,FEMALE,Associate,other-service,Vehicle Theft,?,Trivial Damage,Police,5,1,YES,1,0,NO,4320,N
73,29,1000,0,MALE,College,protective-serv,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,YES,1,0,?,44910,N
85,30,1000,0,MALE,Associate,protective-serv,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,YES,0,1,YES,74280,Y
143,34,500,0,MALE,College,priv-house-serv,Single Vehicle Collision,Front Collision,Minor Damage,Other,10,1,?,2,3,YES,58500,N
93,31,2000,0,FEMALE,MD,prof-specialty,Multi-vehicle Collision,Rear Collision,Major Damage,Police,21,3,YES,1,3,NO,48070,N
56,29,1000,0,MALE,Masters,prof-specialty,Multi-vehicle Collision,Front Collision,Major Damage,Fire,10,3,?,1,2,YES,94560,N
86,29,2000,0,MALE,High School,prof-specialty,Single Vehicle Collision,Front Collision,Minor Damage,Police,0,1,NO,2,2,YES,62920,N
210,37,500,0,FEMALE,MD,tech-support,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,8,1,?,1,3,YES,63300,N
168,39,1000,0,FEMALE,Masters,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,23,3,YES,1,3,NO,41580,Y
254,41,2000,0,FEMALE,Masters,protective-serv,Single Vehicle Collision,Front Collision,Minor Damage,Police,16,1,NO,2,2,YES,100210,N
97,27,500,0,FEMALE,High School,tech-support,Multi-vehicle Collision,Side Collision,Total Loss,Other,22,3,YES,2,1,YES,75690,N
134,36,1000,0,MALE,PhD,machine-op-inspct,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,17,3,NO,2,0,YES,77200,N
242,41,2000,6000000,MALE,Masters,protective-serv,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,3,3,NO,0,1,?,68090,N
169,34,500,0,FEMALE,JD,sales,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,0,1,?,0,0,YES,38700,N
463,57,500,0,MALE,Masters,priv-house-serv,Single Vehicle Collision,Front Collision,Minor Damage,Police,14,1,NO,2,0,YES,59400,N
32,29,500,0,MALE,MD,adm-clerical,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,11,3,YES,2,0,NO,57970,N
405,55,500,0,MALE,PhD,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,2,4,YES,0,2,NO,38640,N
276,45,500,0,FEMALE,High School,machine-op-inspct,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,11,3,?,0,2,?,69300,N
215,42,500,0,MALE,JD,transport-moving,Multi-vehicle Collision,Front Collision,Major Damage,Fire,20,3,YES,2,2,YES,68520,Y
245,44,1000,0,MALE,JD,handlers-cleaners,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,NO,0,3,NO,44280,N
110,27,1000,0,FEMALE,Associate,priv-house-serv,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,3,1,?,0,3,?,57500,N
85,30,1000,0,FEMALE,MD,craft-repair,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,9,3,YES,2,1,YES,58960,N
282,43,500,0,MALE,MD,farming-fishing,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,19,1,NO,1,2,NO,46800,Y
446,61,1000,0,FEMALE,High School,tech-support,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,1,3,?,2,1,NO,80880,N
271,44,500,0,FEMALE,High School,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,Other,16,1,NO,2,2,NO,76230,Y
120,35,1000,0,FEMALE,High School,transport-moving,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,NO,2,0,NO,51210,N
174,36,2000,0,FEMALE,College,tech-support,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,?,2,2,NO,65400,N
124,28,1000,0,MALE,MD,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,Other,20,3,?,0,1,?,60200,N
255,39,500,0,FEMALE,PhD,armed-forces,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,YES,0,3,NO,29300,N
335,48,2000,0,FEMALE,MD,machine-op-inspct,Multi-vehicle Collision,Front Collision,Total Loss,Police,21,3,NO,0,0,YES,35860,Y
375,50,1000,0,MALE,Associate,sales,Single Vehicle Collision,Front Collision,Major Damage,Police,16,1,YES,2,3,NO,37280,Y
36,37,1000,0,FEMALE,Masters,machine-op-inspct,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,20,3,YES,1,3,?,48780,N
252,39,1000,0,MALE,JD,farming-fishing,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,?,1,2,?,50490,N
267,46,2000,0,FEMALE,MD,adm-clerical,Multi-vehicle Collision,Front Collision,Total Loss,Police,4,4,NO,2,1,?,77100,N
156,32,500,0,MALE,Masters,prof-specialty,Single Vehicle Collision,Front Collision,Major Damage,Other,15,1,YES,1,3,YES,74690,Y
274,45,1000,0,FEMALE,JD,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,1,YES,0,0,NO,58500,Y
130,28,1000,0,FEMALE,JD,farming-fishing,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,21,2,YES,2,1,NO,85020,N
298,45,1000,0,MALE,High School,farming-fishing,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,18,3,NO,0,0,NO,64000,N
224,42,500,0,FEMALE,College,prof-specialty,Single Vehicle Collision,Front Collision,Minor Damage,Fire,11,1,?,0,0,YES,55200,N
155,35,1000,0,FEMALE,Associate,adm-clerical,Multi-vehicle Collision,Front Collision,Total Loss,Police,16,3,YES,2,3,NO,29790,N
212,42,500,0,MALE,PhD,priv-house-serv,Single Vehicle Collision,Rear Collision,Total Loss,Other,14,1,NO,2,1,?,42300,N
342,49,500,0,MALE,PhD,transport-moving,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,?,2,0,YES,76700,N
9,30,1000,0,FEMALE,High School,machine-op-inspct,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,?,0,0,NO,85690,N
133,30,1000,0,MALE,College,adm-clerical,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,NO,1,2,?,28440,N
191,38,2000,0,FEMALE,Masters,craft-repair,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,19,3,NO,2,0,NO,56320,N
20,21,1000,0,FEMALE,Masters,priv-house-serv,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,14,1,NO,0,0,?,62900,N
243,41,1000,0,FEMALE,College,farming-fishing,Single Vehicle Collision,Front Collision,Major Damage,Fire,1,1,?,1,0,YES,50300,Y
171,34,2000,0,FEMALE,College,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,NO,1,2,?,69200,Y
458,59,1000,0,FEMALE,High School,protective-serv,Single Vehicle Collision,Front Collision,Total Loss,Police,23,1,?,2,2,YES,71800,N
64,28,1000,0,MALE,JD,handlers-cleaners,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,9,3,NO,2,1,NO,60000,N
257,43,1000,0,FEMALE,JD,transport-moving,Single Vehicle Collision,Rear Collision,Total Loss,Police,0,1,NO,0,1,YES,85320,N
377,53,500,0,FEMALE,MD,craft-repair,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,YES,1,3,NO,59040,N
197,41,1000,0,FEMALE,PhD,prof-specialty,Single Vehicle Collision,Front Collision,Major Damage,Police,6,1,NO,2,2,YES,76400,Y
138,30,500,4000000,FEMALE,PhD,other-service,Single Vehicle Collision,Front Collision,Major Damage,Other,0,1,?,2,2,NO,83160,N
446,57,2000,0,MALE,College,adm-clerical,Multi-vehicle Collision,Front Collision,Total Loss,Police,10,3,NO,0,0,NO,62800,N
224,39,1000,0,FEMALE,JD,prof-specialty,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,21,3,YES,2,1,?,61800,N
17,39,1000,0,FEMALE,JD,adm-clerical,Parked Car,?,Trivial Damage,Police,9,1,?,2,1,?,3440,N
303,50,500,0,MALE,MD,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,Other,17,3,NO,0,3,NO,81960,N
169,39,2000,0,MALE,High School,armed-forces,Multi-vehicle Collision,Rear Collision,Total Loss,Police,9,3,YES,0,3,NO,46200,N
163,37,500,6000000,FEMALE,JD,priv-house-serv,Single Vehicle Collision,Rear Collision,Total Loss,Fire,20,1,YES,2,3,YES,49400,N
180,36,500,0,MALE,College,prof-specialty,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,7,3,YES,2,1,?,69630,N
80,27,500,0,MALE,JD,farming-fishing,Multi-vehicle Collision,Rear Collision,Major Damage,Police,16,3,YES,1,3,?,40810,Y
229,37,2000,0,FEMALE,MD,craft-repair,Multi-vehicle Collision,Side Collision,Major Damage,Other,14,3,YES,1,1,YES,68760,N
50,44,2000,0,MALE,College,handlers-cleaners,Multi-vehicle Collision,Front Collision,Total Loss,Police,15,3,?,1,2,NO,61100,N
99,32,1000,3000000,MALE,JD,craft-repair,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,1,1,NO,41130,N
241,39,2000,0,MALE,JD,sales,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,1,2,?,19080,N
279,43,2000,0,MALE,Associate,machine-op-inspct,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,YES,0,1,NO,57690,Y
101,32,500,0,MALE,JD,sales,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,4,1,?,0,3,YES,43600,N
30,31,2000,0,MALE,PhD,craft-repair,Vehicle Theft,?,Trivial Damage,Police,9,1,NO,2,1,YES,5760,N
198,36,1000,0,MALE,High School,armed-forces,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,?,1,3,YES,49410,N
97,26,1000,0,MALE,Masters,protective-serv,Multi-vehicle Collision,Side Collision,Total Loss,Other,10,3,YES,2,3,NO,84920,Y
294,49,500,0,MALE,Masters,farming-fishing,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,YES,1,1,YES,42900,N
137,30,500,0,MALE,MD,exec-managerial,Multi-vehicle Collision,Front Collision,Minor Damage,Other,4,3,?,2,1,?,74030,N
102,32,500,3000000,MALE,JD,tech-support,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,NO,1,0,NO,47400,Y
106,28,2000,0,MALE,High School,craft-repair,Vehicle Theft,?,Minor Damage,Police,8,1,YES,2,1,YES,5490,N
218,43,500,0,FEMALE,Associate,priv-house-serv,Single Vehicle Collision,Rear Collision,Major Damage,Fire,18,1,?,1,3,YES,68200,Y
293,45,1000,0,FEMALE,MD,exec-managerial,Multi-vehicle Collision,Front Collision,Total Loss,Fire,13,3,NO,1,1,NO,51210,N
257,40,2000,0,MALE,Associate,machine-op-inspct,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,YES,2,1,?,50050,Y
87,31,1000,0,FEMALE,Masters,sales,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,16,3,NO,0,3,YES,60940,Y
86,26,500,7000000,MALE,JD,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,Police,11,1,?,1,1,YES,81840,Y
65,27,1000,0,FEMALE,College,adm-clerical,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,17,1,?,1,2,YES,42840,N
206,36,500,4000000,FEMALE,MD,other-service,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,NO,2,1,NO,76560,Y
129,30,2000,0,FEMALE,PhD,sales,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,NO,1,3,?,74360,N
392,50,2000,0,FEMALE,PhD,exec-managerial,Single Vehicle Collision,Side Collision,Minor Damage,Other,4,1,NO,2,2,YES,108030,N
160,38,500,0,MALE,High School,sales,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,NO,2,1,YES,66780,N
394,57,500,0,FEMALE,High School,craft-repair,Vehicle Theft,?,Trivial Damage,Police,9,1,NO,1,0,NO,6890,N
208,36,500,0,MALE,Associate,craft-repair,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,3,YES,1,0,YES,50500,N
422,60,1000,0,FEMALE,MD,machine-op-inspct,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,YES,1,1,NO,85250,N
464,61,1000,0,FEMALE,Associate,prof-specialty,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,?,0,2,YES,79800,Y
147,33,1000,6000000,MALE,High School,craft-repair,Single Vehicle Collision,Front Collision,Major Damage,Other,15,1,YES,2,0,YES,53100,Y
103,33,1000,6000000,MALE,MD,armed-forces,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,21,1,NO,1,0,YES,76920,N
298,49,500,0,FEMALE,College,other-service,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,1,NO,2,2,NO,28100,N
281,43,1000,6000000,MALE,College,priv-house-serv,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,21,3,NO,1,0,NO,60190,N
235,42,500,4000000,FEMALE,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Total Loss,Police,22,1,YES,2,2,?,87010,N
79,26,500,0,MALE,Associate,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,1,NO,2,2,?,40000,N
104,30,500,0,FEMALE,MD,protective-serv,Vehicle Theft,?,Minor Damage,Police,8,1,NO,0,0,YES,4800,N
70,28,1000,0,MALE,High School,machine-op-inspct,Multi-vehicle Collision,Side Collision,Minor Damage,Police,14,4,NO,1,0,YES,31680,N
295,46,500,0,FEMALE,High School,armed-forces,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,5,1,YES,1,1,NO,60700,N
140,31,500,6000000,MALE,High School,machine-op-inspct,Single Vehicle Collision,Side Collision,Total Loss,Police,9,1,NO,0,2,YES,77880,N
267,40,500,5000000,MALE,JD,transport-moving,Parked Car,?,Trivial Damage,Police,5,1,?,0,2,NO,5670,N
168,32,1000,0,MALE,MD,protective-serv,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,2,?,1,1,?,57720,N
159,33,2000,0,FEMALE,College,craft-repair,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,23,3,YES,2,0,NO,44880,Y
103,27,1000,0,FEMALE,College,handlers-cleaners,Multi-vehicle Collision,Front Collision,Minor Damage,Police,11,3,YES,1,1,NO,77700,N
57,25,2000,0,FEMALE,Masters,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,0,3,NO,0,1,YES,72900,N
150,31,1000,0,MALE,Masters,machine-op-inspct,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,6,3,?,0,3,YES,64800,Y
235,42,500,0,FEMALE,Masters,machine-op-inspct,Multi-vehicle Collision,Side Collision,Total Loss,Other,7,4,?,2,1,YES,69100,N
315,44,1000,6000000,FEMALE,Masters,sales,Multi-vehicle Collision,Front Collision,Total Loss,Other,12,3,?,1,0,YES,26730,N
334,50,500,0,MALE,Masters,priv-house-serv,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,1,NO,2,0,?,50000,N
128,35,1000,0,FEMALE,Associate,adm-clerical,Vehicle Theft,?,Trivial Damage,Police,16,1,?,2,0,?,7590,N
160,36,1000,0,FEMALE,High School,prof-specialty,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,5,3,NO,2,1,NO,51700,N
298,47,2000,0,FEMALE,PhD,machine-op-inspct,Single Vehicle Collision,Front Collision,Major Damage,Fire,1,1,?,0,0,?,70590,Y
269,44,500,4000000,FEMALE,JD,other-service,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,15,3,?,0,1,?,98670,Y
1,33,2000,0,MALE,Associate,sales,Single Vehicle Collision,Side Collision,Total Loss,Other,23,1,YES,0,3,NO,69400,N
284,43,500,0,MALE,PhD,prof-specialty,Multi-vehicle Collision,Side Collision,Total Loss,Fire,12,3,NO,0,0,YES,36960,N
65,23,1000,0,FEMALE,College,sales,Single Vehicle Collision,Side Collision,Major Damage,Other,14,1,NO,1,0,YES,52400,Y
285,41,1000,0,FEMALE,PhD,prof-specialty,Single Vehicle Collision,Rear Collision,Major Damage,Fire,23,1,YES,2,3,?,108480,N
152,30,500,0,FEMALE,JD,craft-repair,Single Vehicle Collision,Side Collision,Major Damage,Fire,9,1,YES,1,1,?,84590,Y
