months_as_customer,age,policy_deductable,umbrella_limit,insured_sex,insured_education_level,insured_occupation,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,fraud_reported
163,33,500,0,FEMALE,Associate,other-service,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,YES,1,1,?,77110,N
39,31,2000,0,FEMALE,High School,handlers-cleaners,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,14,3,?,1,0,NO,52700,Y
29,32,1000,0,MALE,High School,other-service,Single Vehicle Collision,Side Collision,Major Damage,Other,22,1,?,0,2,?,76900,N
140,32,1000,5000000,FEMALE,College,protective-serv,Single Vehicle Collision,Side Collision,Major Damage,Fire,13,1,?,2,3,?,82170,Y
274,43,2000,0,MALE,College,farming-fishing,Single Vehicle Collision,Front Collision,Major Damage,Fire,22,1,YES,0,3,YES,63840,Y
204,40,500,0,FEMALE,JD,sales,Multi-vehicle Collision,Side Collision,Minor Damage,Other,10,3,YES,1,2,YES,41700,N
148,36,1000,5000000,FEMALE,MD,adm-clerical,Single Vehicle Collision,Side Collision,Total Loss,Police,0,1,NO,2,0,NO,61050,N
166,37,500,0,FEMALE,MD,craft-repair,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,10,1,YES,1,1,NO,58300,N
380,53,2000,6000000,MALE,Associate,priv-house-serv,Parked Car,?,Trivial Damage,Police,23,1,NO,0,3,NO,5700,N
76,24,1000,0,FEMALE,MD,priv-house-serv,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,6,3,NO,1,1,?,74700,N
20,37,500,0,FEMALE,Associate,transport-moving,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,?,2,1,NO,60750,N
123,31,500,0,FEMALE,Associate,prof-specialty,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,?,1,2,NO,72120,N
30,36,500,0,FEMALE,College,machine-op-inspct,Multi-vehicle Collision,Side Collision,Total Loss,Police,17,3,NO,2,2,?,57900,N
249,43,1000,0,FEMALE,MD,armed-forces,Single Vehicle Collision,Front Collision,Major Damage,Fire,16,1,?,0,0,YES,53500,N
82,27,1000,0,MALE,PhD,adm-clerical,Single Vehicle Collision,Rear Collision,Major Damage,Other,14,1,NO,2,3,?,71680,Y
96,30,500,6000000,MALE,College,prof-specialty,Single Vehicle Collision,Side Collision,Total Loss,Fire,22,1,?,0,0,YES,53440,N
61,23,2000,4000000,FEMALE,Associate,tech-support,Single Vehicle Collision,Side Collision,Major Damage,Police,14,1,NO,0,3,?,98340,Y
194,38,2000,0,FEMALE,PhD,craft-repair,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,15,3,?,1,0,?,53680,N
22,21,1000,0,FEMALE,High School,exec-managerial,Multi-vehicle Collision,Rear Collision,Total Loss,Police,3,3,YES,1,2,?,53280,N
8,31,500,4000000,FEMALE,MD,transport-moving,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,?,0,2,YES,48100,N
87,31,1000,0,FEMALE,Masters,sales,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,16,3,NO,0,3,YES,60940,Y
304,49,1000,0,FEMALE,PhD,craft-repair,Single Vehicle Collision,Side Collision,Minor Damage,Other,2,1,YES,1,1,YES,73370,N
246,43,1000,6000000,MALE,JD,adm-clerical,Single Vehicle Collision,Side Collision,Minor Damage,Fire,0,1,NO,2,1,?,50700,N
320,48,2000,7000000,MALE,College,transport-moving,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,13,3,NO,2,0,NO,56160,N
147,37,1000,6000000,FEMALE,Associate,prof-specialty,Multi-vehicle Collision,Rear Collision,Total Loss,Other,2,2,NO,1,2,NO,53680,N
415,52,1000,0,MALE,PhD,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Total Loss,Police,15,2,YES,1,3,YES,51090,N
204,40,1000,7000000,MALE,High School,protective-serv,Single Vehicle Collision,Front Collision,Minor Damage,Police,6,1,?,1,0,?,53400,N
33,32,500,5000000,FEMALE,PhD,other-service,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,2,1,YES,0,1,?,56070,N
61,26,2000,6000000,FEMALE,JD,farming-fishing,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,16,2,YES,1,0,NO,53820,Y
146,31,1000,5000000,FEMALE,College,armed-forces,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,0,3,NO,1,3,?,52380,N
289,47,2000,0,FEMALE,Associate,adm-clerical,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,15,1,NO,1,0,YES,54000,N
179,32,1000,6000000,FEMALE,Associate,protective-serv,Single Vehicle Collision,Rear Collision,Major Damage,Police,4,1,YES,1,2,NO,54200,Y
460,62,1000,4000000,MALE,JD,other-service,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,20,3,NO,1,0,?,47160,N
407,55,1000,5000000,FEMALE,PhD,tech-support,Multi-vehicle Collision,Side Collision,Total Loss,Police,0,3,?,2,3,YES,68160,N
290,45,2000,0,MALE,Associate,tech-support,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,22,3,?,0,1,NO,66200,N
313,50,2000,0,MALE,MD,armed-forces,Multi-vehicle Collision,Side Collision,Major Damage,Other,18,3,YES,2,1,YES,69000,Y
70,29,1000,0,FEMALE,MD,armed-forces,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,12,1,NO,0,3,?,69360,N
239,38,1000,5000000,FEMALE,Masters,handlers-cleaners,Multi-vehicle Collision,Front Collision,Major Damage,Police,12,3,NO,1,3,?,61920,N
107,31,500,7000000,FEMALE,High School,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,YES,0,1,NO,89700,Y
239,39,500,0,FEMALE,Masters,other-service,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,0,4,?,0,3,NO,76890,N
108,29,1000,0,FEMALE,PhD,armed-forces,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,NO,2,2,YES,61380,N
431,54,1000,0,FEMALE,Masters,craft-repair,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,3,NO,2,3,?,63240,N
165,33,1000,0,FEMALE,Associate,tech-support,Parked Car,?,Minor Damage,Police,3,1,NO,1,1,NO,2970,N
54,35,500,0,FEMALE,MD,protective-serv,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,21,3,YES,2,0,?,79090,N
5,21,500,5000000,FEMALE,High School,exec-managerial,Single Vehicle Collision,Side Collision,Total Loss,Police,23,1,YES,0,0,NO,40500,N
126,28,500,0,FEMALE,JD,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Total Loss,Police,3,4,NO,0,1,?,67800,N
121,31,1000,6000000,FEMALE,JD,armed-forces,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,0,1,YES,65250,N
77,26,2000,0,MALE,JD,exec-managerial,Multi-vehicle Collision,Rear Collision,Major Damage,Police,12,3,YES,2,0,?,69080,Y
100,33,500,6000000,MALE,College,adm-clerical,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,1,NO,1,2,NO,40800,N
404,53,500,0,MALE,Associate,sales,Parked Car,?,Trivial Damage,Police,8,1,NO,0,1,NO,8800,N
27,33,500,0,FEMALE,PhD,other-service,Single Vehicle Collision,Front Collision,Total Loss,Police,21,1,NO,1,1,YES,27700,N
180,38,2000,0,FEMALE,College,machine-op-inspct,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,NO,0,2,YES,46200,Y
436,59,1000,0,MALE,PhD,protective-serv,Multi-vehicle Collision,Side Collision,Total Loss,Police,10,3,?,2,2,NO,68000,N
297,48,1000,0,MALE,Masters,protective-serv,Multi-vehicle Collision,Front Collision,Major Damage,Other,18,3,?,0,2,?,54960,Y
94,30,2000,0,FEMALE,High School,armed-forces,Single Vehicle Collision,Rear Collision,Major Damage,Fire,19,1,?,1,3,YES,64100,N
199,38,1000,0,FEMALE,High School,tech-support,Single Vehicle Collision,Front Collision,Major Damage,Police,6,1,?,0,2,NO,44440,Y
81,28,1000,6000000,FEMALE,Masters,sales,Multi-vehicle Collision,Front Collision,Major Damage,Fire,0,3,?,1,2,?,44730,Y
366,50,1000,0,FEMALE,High School,handlers-cleaners,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,5,3,YES,1,3,NO,70290,N
63,24,2000,0,FEMALE,High School,handlers-cleaners,Vehicle Theft,?,Minor Damage,Police,7,1,NO,2,0,NO,6120,N
475,61,500,0,FEMALE,Masters,handlers-cleaners,Single Vehicle Collision,Front Collision,Major Damage,Fire,23,1,YES,0,2,?,64350,N
398,53,2000,0,FEMALE,Associate,priv-house-serv,Single Vehicle Collision,Front Collision,Total Loss,Fire,16,1,YES,2,1,?,47430,N
112,27,500,0,FEMALE,Masters,tech-support,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,21,3,?,0,1,?,51000,N
208,36,500,0,MALE,Associate,craft-repair,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,3,YES,1,0,YES,50500,N
66,26,1000,0,MALE,College,armed-forces,Single Vehicle Collision,Rear Collision,Major Damage,Police,8,1,?,2,2,YES,57860,Y
440,61,500,0,MALE,PhD,transport-moving,Single Vehicle Collision,Side Collision,Major Damage,Fire,21,1,?,2,3,NO,53640,Y
43,38,1000,0,MALE,PhD,handlers-cleaners,Multi-vehicle Collision,Front Collision,Total Loss,Other,1,3,YES,2,2,?,61650,N
325,46,500,0,FEMALE,High School,prof-specialty,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,21,3,?,1,2,YES,76120,N
247,44,2000,0,FEMALE,College,farming-fishing,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,22,3,NO,2,2,NO,69480,N
115,30,500,0,MALE,High School,prof-specialty,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,12,3,NO,1,0,YES,49140,N
80,26,1000,0,MALE,Masters,handlers-cleaners,Single Vehicle Collision,Front Collision,Minor Damage,Other,12,1,?,0,0,NO,90400,N
411,56,1000,0,FEMALE,College,protective-serv,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,23,3,?,0,0,?,38610,N
285,48,2000,0,FEMALE,College,sales,Single Vehicle Collision,Side Collision,Minor Damage,Police,9,1,NO,1,2,YES,33480,N
280,48,1000,0,MALE,JD,transport-moving,Single Vehicle Collision,Front Collision,Minor Damage,Fire,16,1,NO,2,2,?,61320,N
274,46,1000,0,MALE,High School,exec-managerial,Multi-vehicle Collision,Side Collision,Total Loss,Other,22,3,NO,1,3,?,90600,N
119,34,500,0,FEMALE,College,tech-support,Single Vehicle Collision,Front Collision,Major Damage,Fire,7,1,YES,2,1,YES,45540,Y
216,36,1000,0,FEMALE,Associate,priv-house-serv,Parked Car,?,Minor Damage,Police,0,1,YES,2,3,?,6160,N
184,38,1000,0,FEMALE,College,transport-moving,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,?,0,2,NO,53730,Y
149,34,500,0,FEMALE,PhD,craft-repair,Single Vehicle Collision,Rear Collision,Total Loss,Fire,3,1,?,0,1,NO,105040,N
195,37,1000,8000000,MALE,MD,tech-support,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,12,1,NO,0,2,NO,44200,Y
328,48,500,0,MALE,Masters,armed-forces,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,17,1,YES,2,1,NO,59400,N
287,45,1000,0,MALE,Masters,transport-moving,Single Vehicle Collision,Front Collision,Minor Damage,Fire,19,1,NO,0,2,NO,53800,N
232,42,500,0,MALE,College,handlers-cleaners,Single Vehicle Collision,Rear Collision,Minor Damage,Other,11,1,YES,2,3,?,77000,Y
339,48,500,0,MALE,JD,other-service,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,NO,2,1,?,51840,N
57,25,2000,0,FEMALE,Masters,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,0,3,NO,0,1,YES,72900,N
259,43,2000,0,FEMALE,PhD,handlers-cleaners,Multi-vehicle Collision,Side Collision,Total Loss,Other,3,3,NO,0,2,YES,57060,N
225,37,1000,5000000,FEMALE,High School,farming-fishing,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,?,2,2,NO,57600,N
140,31,500,6000000,MALE,High School,machine-op-inspct,Single Vehicle Collision,Side Collision,Total Loss,Police,9,1,NO,0,2,YES,77880,N
286,41,500,0,FEMALE,College,prof-specialty,Parked Car,?,Trivial Damage,Police,3,1,?,2,0,NO,5000,N
276,47,1000,0,MALE,PhD,craft-repair,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,YES,0,0,?,65780,N
147,33,1000,6000000,MALE,High School,craft-repair,Single Vehicle Collision,Front Collision,Major Damage,Other,15,1,YES,2,0,YES,53100,Y
27,28,2000,0,MALE,JD,farming-fishing,Multi-vehicle Collision,Front Collision,Major Damage,Other,10,3,?,0,2,YES,53600,Y
456,62,1000,0,FEMALE,MD,protective-serv,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,3,?,1,3,NO,66480,Y
223,40,500,0,FEMALE,JD,priv-house-serv,Multi-vehicle Collision,Side Collision,Major Damage,Police,7,3,YES,1,0,?,70510,N
194,41,500,0,MALE,JD,transport-moving,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,17,3,?,0,2,?,95900,N
344,51,2000,0,MALE,Associate,sales,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,14,1,?,0,2,NO,82830,N
56,29,1000,0,MALE,Masters,prof-specialty,Multi-vehicle Collision,Front Collision,Major Damage,Fire,10,3,?,1,2,YES,94560,N
428,54,2000,0,MALE,Masters,transport-moving,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,16,3,NO,1,0,?,76560,N
261,42,500,0,FEMALE,College,prof-specialty,Single Vehicle Collision,Rear Collision,Minor Damage,Police,18,1,?,1,2,YES,74700,N
211,35,2000,0,MALE,Masters,machine-op-inspct,Single Vehicle Collision,Rear Collision,Total Loss,Police,2,1,YES,0,1,?,52030,N
58,23,2000,5000000,MALE,High School,transport-moving,Single Vehicle Collision,Rear Collision,Major Damage,Fire,8,1,NO,2,1,NO,50380,Y
40,39,1000,4000000,FEMALE,College,sales,Parked Car,?,Minor Damage,Police,8,1,NO,0,2,?,8760,N
80,27,1000,0,FEMALE,College,tech-support,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,YES,1,0,YES,52800,N
56,36,500,0,MALE,JD,farming-fishing,Single Vehicle Collision,Rear Collision,Major Damage,Police,13,1,YES,1,2,YES,58500,N
195,39,1000,0,MALE,PhD,machine-op-inspct,Parked Car,?,Minor Damage,Police,5,1,NO,0,1,YES,2640,N
132,32,2000,0,MALE,PhD,other-service,Vehicle Theft,?,Minor Damage,Police,21,1,YES,1,1,YES,5600,N
97,28,1000,0,MALE,JD,farming-fishing,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,22,1,?,1,0,?,45270,N
270,45,500,0,FEMALE,PhD,priv-house-serv,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,?,0,0,YES,54340,N
47,34,500,0,FEMALE,PhD,exec-managerial,Single Vehicle Collision,Front Collision,Minor Damage,Police,23,1,YES,1,3,?,62920,N
472,64,500,0,MALE,Masters,other-service,Single Vehicle Collision,Front Collision,Major Damage,Fire,13,1,NO,2,3,NO,70900,N
224,42,500,0,FEMALE,College,prof-specialty,Single Vehicle Collision,Front Collision,Minor Damage,Fire,11,1,?,0,0,YES,55200,N
299,42,2000,0,FEMALE,Associate,craft-repair,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,YES,1,3,NO,70400,N
255,39,500,0,FEMALE,PhD,armed-forces,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,YES,0,3,NO,29300,N
8,21,500,0,MALE,High School,handlers-cleaners,Single Vehicle Collision,Front Collision,Major Damage,Other,21,1,?,0,0,?,91260,N
231,37,500,0,FEMALE,High School,sales,Single Vehicle Collision,Rear Collision,Major Damage,Fire,14,1,YES,2,0,?,71190,Y
162,35,2000,0,FEMALE,Masters,handlers-cleaners,Single Vehicle Collision,Side Collision,Major Damage,Police,14,1,YES,0,3,YES,54340,N
321,44,2000,6000000,MALE,Associate,machine-op-inspct,Vehicle Theft,?,Trivial Damage,Police,7,1,?,1,2,NO,4680,N
259,44,2000,0,FEMALE,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Minor Damage,Other,8,1,YES,0,0,YES,105820,N
192,35,1000,0,FEMALE,Masters,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,Other,19,1,NO,0,0,?,76600,N
124,32,1000,0,FEMALE,MD,other-service,Multi-vehicle Collision,Front Collision,Total Loss,Other,19,3,NO,0,2,YES,73560,N
97,26,1000,0,MALE,Masters,protective-serv,Multi-vehicle Collision,Side Collision,Total Loss,Other,10,3,YES,2,3,NO,84920,Y
270,45,1000,0,FEMALE,College,handlers-cleaners,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,18,3,NO,1,1,YES,89400,N
282,43,500,0,MALE,MD,farming-fishing,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,19,1,NO,1,2,NO,46800,Y
247,39,500,0,FEMALE,College,handlers-cleaners,Parked Car,?,Trivial Damage,Police,3,1,?,2,3,?,3300,N
169,39,2000,0,MALE,High School,armed-forces,Multi-vehicle Collision,Rear Collision,Total Loss,Police,9,3,YES,0,3,NO,46200,N
189,36,2000,0,FEMALE,MD,priv-house-serv,Multi-vehicle Collision,Side Collision,Major Damage,Police,17,3,?,1,3,YES,79560,N
315,44,1000,6000000,FEMALE,Masters,sales,Multi-vehicle Collision,Front Collision,Total Loss,Other,12,3,?,1,0,YES,26730,N
241,39,1000,0,FEMALE,JD,adm-clerical,Multi-vehicle Collision,Side Collision,Minor Damage,Police,20,3,NO,0,2,YES,37520,N
251,39,2000,0,FEMALE,Associate,other-service,Single Vehicle Collision,Rear Collision,Minor Damage,Police,10,1,YES,0,0,?,44240,N
253,43,500,7000000,FEMALE,Associate,tech-support,Vehicle Theft,?,Trivial Damage,Police,9,1,NO,0,1,?,3840,N
256,43,500,0,FEMALE,MD,prof-specialty,Single Vehicle Collision,Rear Collision,Total Loss,Fire,11,1,NO,0,0,?,63250,N
280,43,1000,0,MALE,JD,transport-moving,Single Vehicle Collision,Front Collision,Total Loss,Fire,1,1,NO,0,2,?,77000,N
166,37,2000,8000000,MALE,JD,craft-repair,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,3,NO,2,2,?,67140,Y
188,33,1000,0,MALE,High School,protective-serv,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,8,3,YES,1,0,?,76010,Y
81,25,500,5000000,FEMALE,High School,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,Other,11,3,?,1,0,?,73920,Y
128,29,1000,0,MALE,High School,other-service,Single Vehicle Collision,Rear Collision,Total Loss,Fire,2,1,NO,0,0,?,59070,N
61,24,500,0,FEMALE,College,priv-house-serv,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,2,1,?,65520,Y
128,28,1000,0,FEMALE,High School,adm-clerical,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,NO,0,2,YES,101860,N
386,53,500,0,MALE,JD,craft-repair,Single Vehicle Collision,Front Collision,Minor Damage,Police,16,1,?,2,3,YES,66660,N
220,42,1000,0,MALE,College,farming-fishing,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,20,4,NO,0,2,YES,47740,N
210,41,500,0,MALE,High School,exec-managerial,Multi-vehicle Collision,Rear Collision,Total Loss,Other,12,3,?,2,0,NO,81070,N
174,36,2000,0,FEMALE,College,tech-support,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,?,2,2,NO,65400,N
360,51,1000,0,MALE,Masters,handlers-cleaners,Vehicle Theft,?,Minor Damage,Police,5,1,YES,2,2,?,4620,Y
230,41,1000,0,MALE,JD,transport-moving,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,19,3,?,2,0,?,53040,N
106,28,2000,0,MALE,High School,craft-repair,Vehicle Theft,?,Minor Damage,Police,8,1,YES,2,1,YES,5490,N
310,48,1000,0,FEMALE,Masters,priv-house-serv,Single Vehicle Collision,Front Collision,Major Damage,Police,21,1,YES,1,0,NO,55170,Y
143,31,500,0,MALE,Associate,protective-serv,Multi-vehicle Collision,Side Collision,Major Damage,Other,21,4,YES,2,0,?,76120,N
98,26,2000,0,MALE,JD,exec-managerial,Multi-vehicle Collision,Front Collision,Total Loss,Police,13,2,?,0,1,YES,65430,N
261,46,1000,0,MALE,MD,transport-moving,Single Vehicle Collision,Front Collision,Total Loss,Fire,11,1,YES,1,0,?,59670,N
257,43,2000,0,MALE,High School,prof-specialty,Parked Car,?,Minor Damage,Police,4,1,YES,1,3,YES,9020,N
286,41,1000,6000000,FEMALE,High School,sales,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,16,3,?,1,3,YES,54450,N
249,43,2000,0,FEMALE,MD,adm-clerical,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,4,3,YES,2,1,YES,57100,N
272,43,1000,0,MALE,PhD,craft-repair,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,5,3,?,1,2,YES,81070,Y
84,30,2000,0,MALE,Associate,priv-house-serv,Vehicle Theft,?,Trivial Damage,Police,9,1,YES,1,3,?,4620,N
294,46,500,0,MALE,College,prof-specialty,Single Vehicle Collision,Side Collision,Total Loss,Other,8,1,NO,0,3,YES,65780,N
163,36,1000,0,MALE,MD,other-service,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,1,1,YES,2,1,NO,51390,N
46,41,2000,0,FEMALE,MD,priv-house-serv,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,23,3,NO,1,3,?,78600,Y
298,49,500,0,MALE,MD,machine-op-inspct,Multi-vehicle Collision,Side Collision,Major Damage,Other,16,3,NO,0,2,NO,69480,N
151,37,500,0,FEMALE,Associate,protective-serv,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,14,3,NO,1,2,YES,59100,Y
242,41,2000,6000000,MALE,Masters,protective-serv,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,3,3,NO,0,1,?,68090,N
328,46,500,0,FEMALE,MD,prof-specialty,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,?,2,3,?,70290,Y
479,60,1000,0,FEMALE,MD,exec-managerial,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,2,?,0,3,?,53900,N
211,40,1000,0,FEMALE,PhD,other-service,Vehicle Theft,?,Trivial Damage,Police,3,1,NO,1,1,NO,3190,N
370,55,2000,0,MALE,High School,prof-specialty,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,NO,0,0,YES,71520,Y
259,43,500,0,FEMALE,Masters,farming-fishing,Vehicle Theft,?,Trivial Damage,Police,15,1,NO,1,3,NO,7680,N
277,44,500,0,MALE,High School,priv-house-serv,Vehicle Theft,?,Trivial Damage,Police,6,1,NO,1,3,NO,5000,N
266,46,500,0,FEMALE,Associate,tech-support,Parked Car,?,Minor Damage,Police,5,1,NO,1,2,?,2160,N
48,35,500,0,FEMALE,JD,exec-managerial,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,1,1,YES,0,2,NO,48400,N
56,42,500,0,FEMALE,Associate,adm-clerical,Single Vehicle Collision,Rear Collision,Total Loss,Other,13,1,?,1,2,YES,61490,N
211,35,500,0,FEMALE,JD,prof-specialty,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,YES,1,1,?,42000,N
59,40,2000,0,MALE,College,protective-serv,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,0,3,?,0,2,NO,51570,N
190,38,500,0,MALE,JD,craft-repair,Single Vehicle Collision,Side Collision,Total Loss,Other,14,1,YES,0,0,NO,45100,N
163,37,1000,4000000,FEMALE,High School,craft-repair,Vehicle Theft,?,Minor Damage,Police,7,1,?,2,1,YES,3900,Y
198,34,1000,0,MALE,Associate,handlers-cleaners,Single Vehicle Collision,Side Collision,Major Damage,Other,18,1,YES,1,1,YES,95000,N
461,61,2000,0,MALE,JD,exec-managerial,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,?,2,1,YES,72100,N
